NUMERO_SEQUENTIEL_QUARTIER;NUMERO_QUARTIER;NUMERO_QUARTIER_INSEE;NOM_QUARTIER;NUMERO_ARRONDISSEMENT;NUMERO_SEQUENTIEL_ARRONDISSEMENT;PERIMETRE;SURFACE;GEOMETRY_X_Y;ST_AREA_SHAPE;ST_PERIMETER_SHAPE
750000047;47;7511203;Bercy;12;750000012;6155.00503581;1902932.20180839;"{""lon"":2.3862100842120184,""lat"":48.835209049865114}";1902932.201808392;6154.591386940687
750000054;54;7511402;Parc-de-Montsouris;14;750000014;5224.26536878;1357950.39031575;"{""lon"":2.337070179863054,""lat"":48.823452771575106}";1357950.3903157462;5223.847751468527
750000078;78;7512002;Saint-Fargeau;20;750000020;5405.03643277;1486971.46267173;"{""lon"":2.406171530151038,""lat"":48.87103473909125}";1486971.462671731;5404.838135405879
750000080;80;7512004;Charonne;20;750000020;6167.33826507;2090903.97517298;"{""lon"":2.407430328235969,""lat"":48.854760283035255}";2090903.9751729844;6167.023086347719
750000005;5;7510201;Gaillon;2;750000002;1866.98204093;188012.20385047;"{""lon"":2.3334318076581146,""lat"":48.869306638088744}";188012.20385047235;1866.9134417394455
750000055;55;7511403;Petit-Montrouge;14;750000014;5490.63667232;1345774.2646037;"{""lon"":2.3264369992249008,""lat"":48.82665262554388}";1345774.2646037;5490.212846009181
750000006;6;7510202;Vivienne;2;750000002;2058.47295924;243550.77062341;"{""lon"":2.3394607437483312,""lat"":48.86910019977125}";243550.7706234047;2058.3939469066327
750000015;15;7510403;Arsenal;4;750000004;2878.55965556;487264.93707154;"{""lon"":2.3647679538731117,""lat"":48.851585175021285}";487264.9370715421;2878.401495985194
750000053;53;7511401;Montparnasse;14;750000014;4565.13618936;1126205.40674455;"{""lon"":2.331783822887114,""lat"":48.8376230959726}";1126205.406744545;4564.840667107716
750000062;62;7511602;Muette;16;750000016;11962.438594;5477898.30048563;"{""lon"":2.259935831704838,""lat"":48.86327454383974}";5477898.300485639;11961.948851664954
750000067;67;7511703;Batignolles;17;750000017;5832.69002632;1441710.87038814;"{""lon"":2.313856169006357,""lat"":48.888481513920595}";1441710.870388137;5832.58435302199
750000068;68;7511704;Epinettes;17;750000017;5171.70645067;1378544.9478026;"{""lon"":2.321118743705154,""lat"":48.8949426537908}";1378544.9478026049;5171.633006557311
750000022;22;7510602;Odéon;6;750000006;3516.31446441;716148.35103094;"{""lon"":2.3363388275876775,""lat"":48.847800629292664}";716148.3510309359;3516.110384339274
750000039;39;7511003;Porte-Saint-Martin;10;750000010;3245.89141305;609034.65445098;"{""lon"":2.3615036473450113,""lat"":48.87124465089237}";609034.6544509808;3245.778221571815
750000071;71;7511803;Goutte-d'Or;18;750000018;5176.40689459;1089225.57975143;"{""lon"":2.355536163296278,""lat"":48.89213818760241}";1089225.5797514336;5176.3160667455495
750000034;34;7510902;Chaussée-d'Antin;9;750000009;3133.58009176;543441.16771129;"{""lon"":2.332268868869704,""lat"":48.87354738020911}";543441.1677112889;3133.4724781225277
750000036;36;7510904;Rochechouart;9;750000009;2862.45052541;500435.41496439;"{""lon"":2.3448612910024424,""lat"":48.87981191977869}";500435.41496439447;2862.3690781581777
